uuid,text
f5f0ce1a-7ed3-5c87-b3b5-a428499b0042,"AbsorbCounter target spell. You gain 3 life. Instant   A spell that can’t be countered is a legal target for Absorb. The spell won’t be countered when Absorb resolves, but you’ll still gain 3 life. 1 white 2 blue "
46204467-c2a0-5847-8ddd-8f0b9f90ad77,"Acclaimed ContenderWhen Acclaimed Contender enters the battlefield, if you control another Knight, look at the top five cards of your library. You may reveal a Knight, Aura, Equipment, or legendary artifact card from among them and put it into your hand. Put the rest on the bottom of your library in a random order. Creature  Human Knight Acclaimed Contender’s ability won’t trigger if you don’t control another Knight immediately after it enters the battlefield. If you don’t control another Knight as that ability resolves, the ability has no effect. This doesn’t have the be the same Knight at both times, however. Acclaimed Contender’s ability can get you at most one card from the top five cards, no matter how many other Knights you control. 1 white "
243cab8a-cedd-51cf-8e8c-c98407ee63e6,"Acolyte of AfflictionWhen Acolyte of Affliction enters the battlefield, put the top two cards of your library into your graveyard, then you may return a permanent card from your graveyard to your hand. Creature  Human Cleric A permanent card is an artifact, creature, enchantment, land, or planeswalker card. The card you return with Acolyte of Affliction’s ability may be one that you just put into your graveyard with its ability. This is because the ability doesn’t target the card that you’ll return. 1 green 1 black "
195325d2-a170-5b0d-8f31-5c05047725c3,"Act of TreasonGain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and {T} this turn.) Sorcery   Act of Treason can target any creature, even one that’s untapped or one you already control. Gaining control of a creature doesn’t cause you to gain control of any Auras or Equipment attached to it. 1 red "
956bfe6a-c5b5-5158-b62e-94d5fc81b696,"Aerial AssaultDestroy target tapped creature. You gain 1 life for each creature you control with flying. Sorcery   If the target creature is an illegal target by the time Aerial Assault tries to resolve, the spell doesn’t resolve. You won’t gain life. If the target is legal but is not destroyed (most likely because it has indestructible), you will gain life. Any abilities that trigger as the target creature is destroyed won’t resolve until after you’ve gained life. If any creatures were exiled “until” the target creature left the battlefield, those creatures will return before you gain life. 1 white "
a18dde06-a5bc-5c49-a8d4-ef2d06f12741,"AeromunculusFlying
{2}{G}{U}: Adapt 1. (If this creature has no +1/+1 counters on it, put a +1/+1 counter on it.) Creature  Homunculus Mutant You can always activate an ability that will cause a creature to adapt. As that ability resolves, if the creature has a +1/+1 counter on it for any reason, you simply won’t put any +1/+1 counters on it. If a creature somehow loses all of its +1/+1 counters, it can adapt again and get more +1/+1 counters. 1 green 1 blue "
83439ff9-2a32-57bd-a805-a075ca36d156,"Aether GustChoose target spell or permanent that's red or green. Its owner puts it on the top or bottom of their library. Instant   The owner of the target spell or permanent chooses to put it either on the top or bottom of their library. If a spell is put into its owner’s library, it’s removed from the stack and thus will not resolve. The spell isn’t countered; it no longer exists. This works against a spell that can’t be countered. 1 blue "
beb662bf-ed97-5711-ab41-f373bf747173,"Affectionate IndrikWhen Affectionate Indrik enters the battlefield, you may have it fight target creature you don't control. (Each deals damage equal to its power to the other.) Creature  Beast You choose the target of the triggered ability as it goes on the stack, but you choose whether the creatures fight as that ability resolves. If the target creature is an illegal target when Affectionate Indrik’s ability tries to resolve, the ability doesn’t resolve. If Affectionate Indrik is no longer on the battlefield, the target creature won’t deal or be dealt damage. 1 green "
cafa1983-b283-5e3b-826f-f52f46c0114c,"Agent of TreacheryWhen Agent of Treachery enters the battlefield, gain control of target permanent.
At the beginning of your end step, if you control three or more permanents you don't own, draw three cards. Creature  Human Rogue Gaining control of a creature doesn’t cause you to gain control of any Auras or Equipment attached to it. Gaining control of an Aura or Equipment doesn’t change what it’s currently attached to. Agent of Treachery’s effect lasts indefinitely. It doesn’t wear off during the cleanup step, and it doesn’t expire if Agent of Treachery leaves the battlefield. In a multiplayer game, it does expire if you leave the game. A token’s owner is the player who created it. If you don’t control three permanents you don’t own as your end step begins, Agent of Treachery’s last ability doesn’t trigger. If you no longer control three permanents you don’t own as it resolves, you won’t draw three cards. Those don’t have to be the same three permanents each time. If you gain control of a permanent “until end of turn,” that effect will wear off during the cleanup step, after the end step. You’ll control that permanent while considering Agent of Treachery’s last ability. 2 blue "
64bbdace-c966-5b6a-a841-695e88d4564f,"Aggressive MammothTrample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Other creatures you control have trample. Creature  Elephant 3 green "
